hard_seat,need_time,soft_seat,business_class,pssive_seat,private_soft,arrival_station,train_number,second_soft,arrival_time,other,departure_station,without_seat,reservation,first_class,second_class,departure_time,first_soft
有,05:06,--,--,--,--,杭州(过),K1049,10,07:23,--,合肥(过),有,预订,--,--,02:17,无
无,04:54,--,--,--,--,杭州(过),T325,无,07:34,--,合肥(过),有,预订,--,--,02:40,无
12,05:57,--,--,--,--,杭州(过),K1105,无,09:29,--,合肥(过),有,预订,--,--,03:32,无
有,05:33,--,--,--,--,杭州(终),K1263,9,09:52,--,合肥(过),有,预订,--,--,04:19,12
6,05:46,--,--,--,--,杭州(终),K605,有,10:48,--,合肥(过),无,预订,--,--,05:02,4
8,05:52,--,--,--,--,杭州(过),K465,1,11:02,--,合肥(过),有,预订,--,--,05:10,1
无,05:32,--,--,--,--,杭州(过),K425,无,11:41,--,合肥(过),有,预订,--,--,06:09,无
2,05:59,--,--,--,--,杭州(终),K891,有,12:33,--,合肥(过),16,预订,--,--,06:34,3
--,04:01,--,10,--,--,杭州东(过),G7434,--,10:54,--,合肥南(始),有,预订,无,有,06:53,--
有,05:47,--,--,--,--,杭州(终),K2275,2,13:17,--,合肥(过),有,预订,--,--,07:30,无
--,02:31,--,17,--,--,杭州东(过),G7638,--,10:09,--,合肥南(始),有,预订,有,有,07:38,--
--,02:53,--,14,--,--,杭州东(过),G7648,--,10:43,--,合肥(始),有,预订,6,有,07:50,--
--,02:33,--,--,--,--,杭州东(过),G7458,--,10:53,--,合肥南(始),有,预订,--,无,08:20,--
--,02:27,--,8,--,--,杭州东(过),G7480,--,10:58,--,合肥南(始),有,预订,无,有,08:31,--
--,02:38,--,13,--,--,杭州东(过),G7694,--,11:19,--,合肥南(始),有,预订,16,有,08:41,--
--,02:17,--,--,--,--,杭州东(过),D2198,--,11:14,--,合肥南(过),无,预订,无,无,08:57,--
--,02:34,--,--,--,--,杭州东(过),G7684,--,11:44,--,合肥南(始),有,预订,6,有,09:10,--
--,04:17,--,--,--,--,杭州东(过),G7378,--,13:44,--,合肥南(始),有,预订,有,有,09:27,--
--,03:33,--,10,--,--,杭州东(过),G7598,--,13:59,--,合肥南(始),有,预订,无,有,10:26,--
--,03:59,--,6,--,--,杭州东(过),G7578,--,15:19,--,合肥南(过),有,预订,3,有,11:20,--
--,02:27,--,无,--,--,杭州东(过),G7672,--,13:48,--,合肥(过),有,预订,无,9,11:21,--
--,02:22,--,无,--,--,杭州东(过),G584,--,13:58,--,合肥南(过),--,预订,6,无,11:36,--
--,02:42,--,--,--,--,杭州(终),D2190,--,14:35,--,合肥南(过),无,预订,无,无,11:53,--
有,05:23,--,--,--,--,杭州(终),K655,有,17:52,--,合肥(过),有,预订,--,--,12:29,6
--,02:12,--,18,--,--,杭州东(终),G7634,--,14:57,--,合肥南(始),有,预订,有,有,12:45,--
--,04:21,--,--,--,--,杭州东(过),G7574,--,17:12,--,合肥(过),有,预订,无,无,12:51,--
有,05:38,--,--,--,--,杭州(过),K1395,有,18:38,--,合肥(过),有,预订,--,--,13:00,4
--,02:38,--,--,--,--,杭州东(终),D2194,--,15:50,--,合肥南(过),6,预订,13,有,13:12,--
--,02:50,--,12,--,--,杭州东(过),G7676,--,16:07,--,合肥南(始),有,预订,有,有,13:17,--
有,05:25,--,--,--,--,杭州(终),K593,有,18:47,--,合肥(过),有,预订,--,--,13:22,15
--,04:16,--,19,--,--,杭州东(终),G7566,--,18:06,--,合肥南(始),有,预订,有,有,13:50,--
有,05:17,--,--,--,--,杭州(过),K2905,有,19:21,--,合肥(过),有,预订,--,--,14:04,2
--,04:26,--,15,--,--,杭州东(终),G7388,--,18:42,--,合肥南(始),有,预订,有,有,14:16,--
--,02:51,--,无,--,--,杭州东(过),G592,--,17:23,--,合肥南(过),--,预订,2,13,14:32,--
--,04:06,--,20,--,--,杭州东(过),G7374,--,19:07,--,合肥南(过),有,预订,有,有,15:01,--
--,02:04,--,5,--,--,杭州东(过),G7488,--,17:18,--,合肥南(始),有,预订,无,有,15:14,--
--,02:38,--,13,--,--,杭州东(过),G7618,--,18:13,--,合肥南(始),有,预订,1,有,15:35,--
--,02:27,--,有,--,--,杭州东(过),G7688,--,18:08,--,合肥(过),有,预订,有,有,15:41,--
--,02:26,--,有,--,--,杭州东(过),G7680,--,18:21,--,合肥南(始),有,预订,有,有,15:55,--
--,02:37,--,无,--,--,杭州东(终),G596,--,18:49,--,合肥南(过),--,预订,1,无,16:12,--
--,02:43,--,有,--,--,杭州东(过),G7664,--,19:05,--,合肥南(始),有,预订,有,有,16:22,--
--,02:37,--,--,--,--,杭州东(过),D658,--,19:10,--,合肥南(过),无,预订,无,无,16:33,--
--,02:37,--,--,--,--,杭州东(终),D2248,--,20:07,--,合肥南(过),无,预订,无,有,17:30,--
--,02:18,--,18,--,--,杭州东(过),G7658,--,20:24,--,合肥南(始),有,预订,有,有,18:06,--
--,03:52,--,有,--,--,杭州东(终),G9404,--,22:13,--,合肥南(过),有,预订,有,有,18:21,--
--,02:42,--,--,--,--,杭州东(终),D2224,--,21:54,--,合肥南(过),无,预订,有,有,19:12,--
--,02:17,--,--,--,--,杭州东(终),D2264,--,22:21,--,合肥南(过),无,预订,有,有,20:04,--
无,05:45,--,--,--,--,杭州(过),K8499,无,02:58,--,合肥(过),无,预订,--,--,21:13,无
有,05:11,--,--,--,--,杭州(过),K307,无,03:14,--,合肥(过),有,预订,--,--,22:03,无
有,04:57,--,--,--,--,杭州(过),K1237,无,03:25,--,合肥(过),有,预订,--,--,22:28,无
有,04:43,--,--,--,--,杭州(过),K1039,无,03:43,--,合肥(过),有,预订,--,--,23:00,无
有,05:46,--,--,--,--,杭州(过),K1437,无,05:00,--,合肥(过),1,预订,--,--,23:14,无
有,05:28,--,--,--,--,杭州东(过),K8563,无,04:51,--,合肥(过),无,预订,--,--,23:23,无
